Compound identifier,Trivial name,Final ABS IC50 (nM),Final iGc IC50 (nM),Final LGc IC50 (nM),Final mGc IC50 (nM),FC iGC-ABS,FC LGc-ABS,FC mGc-ABS,SMILE
NCGC00091881,Toxaphene,3981.07,,5000.00,,,1.26,,ClC2(Cl)C1(Cl)C(Cl)C(Cl)C2(Cl)C(=C)C1(CCl)CCl
NCGC00181025,TRANSFLUTHRIN,5000.00,,501.19,,,0.10,,Cl/C(Cl)=C/[C@@H]2[C@@H](C(=O)OCc1c(F)c(F)cc(F)c1F)C2(C)C
NCGC00094424,Trequinsin hydrochloride,1584.89,,5000.00,,,3.15,,Cl.Cc4cc(C)cc(C)c4\N=C2/C=C1c3cc(OC)c(OC)cc3CCN1C(=O)N2C
NCGC00016016,Triamterene,1584.89,,2238.72,,,1.41,,Nc2nc(N)nc1nc(N)c(nc12)c3ccccc3
MMV1580496,Triapine,1277.00,,288.90,,,0.23,,S=C(N\N=C\C1=NC=CC=C1N)N
NCGC00016398,Trichlormethiazide,5000.00,,1778.28,,,0.36,,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl
Trichostatin A,Trichostatin A,62.30,53.90,3795.50,,0.87,60.92,,CN(C)c1ccc(cc1)C(=O)C(C)/C=C(\C)/C=C/C(=O)NO
Triclosan,Triclosan,5.30,7.50,,,1.42,,,ClC1=C(OC2=CC=C(Cl)C=C2O)C=CC(Cl)=C1
NCGC00091695,Triethylenetetramine,5000.00,,1258.93,,,0.25,,NCCNCCNCCN
NCGC00094393,Trihexyphenidyl hydrochloride,5000.00,,891.25,,,0.18,,Cl.OC(CCN1CCCCC1)(c2ccccc2)C3CCCCC3
MMV000028,Trimethoprim,1258.93,5000.00,5000.00,5000.00,3.97,3.97,3.97,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
NCGC00161419,TRIMETREXATE GLUCURONATE,3.98,,5000.00,,,1255.94,,Cl.Cl.Cl.COc1cc(cc(OC)c1OC)NCc2ccc3nc(N)nc(N)c3c2C
NCGC00016065,TROPICAMIDE,5000.00,,3548.13,,,0.71,,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2
MMV1782211,TTP 8307,5000.00,,1097.00,,,0.22,,C[C@@H](NC(=O)c1cccc(c1)c2c[nH]c(n2)c3cc4ccccc4cn3)c5ccc(F)cc5
Tubastatin A,Tubastatin A,1000.00,5000.00,1000.00,,5.00,1.00,,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO
NCGC00094807,TYROTHRICIN A,0.40,,3981.07,,,10000.00,,CC(C)C[C@@H]4NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)C(Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@@H]5CCCN5C(=O)[C@@H](Cc3ccccc3)NC4=O)Cc6ccccc6)C(C)C
NCGC00024662,Tyrphostin AG 527,5000.00,,2818.38,,,0.56,,C[C@@H](NC(=O)/C(=C/C1=CC(=C(O)C=C1)O)C#N)C2=CC=CC=C2
NCGC00094462,U0126,3981.07,,2818.38,,,0.71,,NC(\SC1=C(N)C=CC=C1)=C(C#N)\C(C#N)=C(N)/SC2=CC=CC=C2N
NCGC00159429,Ubidecarenone,5000.00,,2511.89,,,0.50,,COC1=C(OC)C(=O)C(C)=C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)C)C1=O
NCGC00094502,Urapidil hydrochloride,5000.00,,562.34,,,0.11,,Cl.COc3ccccc3N2CCN(CCCNC1=CC(=O)N(C)C(=O)N1C)CC2
NCGC00095041,URETHANE,5000.00,,501.19,,,0.10,,NC(=O)OCC
MMV1580482,URMC-099-C,1390.00,,1657.00,,,1.19,,N2=C1[NH]C=C(C1=CC(=C2)C4=CC=C(CN3CCN(C)CC3)C=C4)C6=CC5=C([NH]C=C5)C=C6
NCGC00167968,VALNEMULIN HYDROCHLORIDE,1995.26,,5000.00,,,2.51,,CC(C)[C@@H](N)C(=O)NCC(C)(C)SCC(=O)O[C@@H]2C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@@]31CCC(=O)[C@H]1[C@@]2(C)[C@H](C)CC3
NCGC00167513,VANDETANIB,1995.26,,5000.00,,,2.51,,CN4CCC(COc2cc3ncnc(Nc1ccc(Br)cc1F)c3cc2OC)CC4
NCGC00167467,VECURONIUM BROMIDE,5000.00,,794.33,,,0.16,,[Br-].C[N+]1(CCCCC1)[C@H]6C[C@@H]5[C@](C)(CC[C@H]2[C@H]5CC[C@H]3C[C@H](OC(C)=O)[C@H](C[C@]23C)N4CCCCC4)[C@H]6OC(C)=O
NCGC00165966,VINORELBINE TARTRATE,2511.89,,5000.00,,,1.99,,O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O.O=C(OC)[C@@]2(C[C@@H]4C=C(CC)C[N@](Cc1c3ccccc3nc12)C4)c5cc9c(cc5OC)N(C)[C@@H]6[C@]98CCN7CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]6(O)C(=O)OC)[C@H]78
NCGC00181127,VINROSIDINE SULFATE,1995.26,,5000.00,,,2.51,,O=S(=O)(O)O.O=C(OC)[C@@]2(C[C@@H]4C[C@@](O)(CC)C[N@](CCc1c3ccccc3nc12)C4)c5cc9c(cc5OC)N(C)[C@@H]6[C@]98CCN7CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]6(O)C(=O)OC)[C@H]78
"Vorinostat (SAHA, MK0683)","Vorinostat (SAHA, MK0683)",206.30,233.10,1000.00,,1.13,4.85,,O=C(Nc1ccccc1)CCCCCCC(=O)NO
WEHI-842,WEHI-842,1580.00,5000.00,5000.00,,3.16,3.16,,CC(C)CC(NC(=O)C(NC(=O)C(CCONC(=N)N)NC(=O)OCc1ccccc1)C(C)C)C(O)CC(=O)NCCc1ccccc1
NCGC00094456,"WIN 62,577",2511.89,,5000.00,,,1.99,,C[C@]\12CC3=C[N]4C(=NC5=CC=CC=C45)N=C3\C=C1CCC6C2CC[C@@]7(C)[C@H]6CC[C@@]7(O)C#N
NCGC00093742,Z-L-Phe chloromethyl ketone,5000.00,,2818.38,,,0.56,,ClCC(=O)[C@H](CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2
NCGC00025295,Zacopride hydrochloride,5000.00,,3548.13,,,0.71,,Cl.Clc1cc(c(OC)cc1N)C(=O)NC3CN2CCC3CC2
NCGC00037064,Zearalanol,5000.00,,3981.07,,,0.80,,Oc1cc(O)cc2CCCCC[C@@H](O)CCC[C@H](C)OC(=O)c12
NCGC00094811,ZOMEPIRAC SODIUM,5000.00,,707.95,,,0.14,,[Na+].Cc2cc(CC([O-])=O)n(C)c2C(=O)c1ccc(Cl)cc1
CLM-22,,0.42,2.00,1.40,,4.76,3.33,,CS(=O)(=O)c1ccc(cc1)c2cnn3ccc(nc23)c4cccc(c4)S(=O)(=O)C5CC5
MMV669810,,0.45,2.00,1.40,1.20,4.44,3.11,2.67,CS(=O)(=O)c1ccc(cc1)c2cnn3ccc(nc23)c4cccc(c4)S(=O)(=O)C5CC5
MMV669286,,0.88,4.10,3.00,34.20,4.66,3.41,38.86,CS(=O)(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cccc(c4)S(=O)(=O)C5CC5
MMV674850,,2.65,4.47,28.70,208.80,1.69,10.83,78.79,CS(=O)(=O)c1ccc(cc1)c2cnn3ccc(cc23)c4cccc(c4)S(=O)(=O)C5CC5
CLM-19,,2.70,4.50,29.00,,1.67,10.74,,CS(=O)(=O)c1ccc(cc1)c2cnn3ccc(cc23)c4cccc(c4)S(=O)(=O)C5CC5
HW15,,1.30,8.00,0.90,,6.15,0.69,,CC(=O)Nc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
MMV672652,,0.56,10.80,3.30,18.10,19.29,5.89,32.32,CS(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cccc(c4)S(=O)(=O)C5CC5
HW19,,1.65,12.10,0.70,,7.33,0.42,,Fc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
HW17,,2.00,13.10,0.60,,6.55,0.30,,Fc1cccc(c1)S(=O)(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
UNC0642,,19.20,14.60,929.60,,0.76,48.42,,CC(C)N(CC4)CCC4NC1=C2C(C=C(OCCCN3CCCC3)C(OC)=C2)=NC(N5CCC(F)(F)CC5)=N1
UNC0631,,28.50,14.80,641.20,,0.52,22.50,,COC1=CC2=C(NC3CCN(CC4CCCCC4)CC3)N=C(N5CCN(C(C)C)CCC5)N=C2C=C1OCCCN6CCCCC6
UNC0638,,21.60,16.40,442.00,,0.76,20.46,,CC(C)N(CC5)CCC5NC1=C2C(C=C(OCCCN4CCCC4)C(OC)=C2)=NC(C3CCCCC3)=N1
SGI-1027,,50.80,18.20,322.40,,0.36,6.35,,O=C(NC1=CC=C(NC2=NC(N)=NC(C)=C2)C=C1)C(C=C3)=CC=C3NC4=CC=NC5=C4C=CC=C5
HW30,,1.80,19.30,4.00,,10.72,2.22,,FC(F)(F)c1ccc(nc1)N1CCN(CC1)S(=O)(=O)NC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
HW28,,1.06,19.50,0.60,,18.40,0.57,,Fc1ccc(cc1)C(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
HW16,,1.13,19.70,0.40,,17.43,0.35,,FC(F)(F)c1cc(ccc1)S(=O)(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
HW23,,1.55,20.00,1.00,,12.90,0.65,,FC(F)(F)c1ccc(cc1)NC(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
UNC0379,,50.40,21.30,1000.00,,0.42,19.84,,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCCC3)NCCCCCN4CCCC4)OC
HW13,,2.70,21.50,0.50,,7.96,0.19,,CCCCS(=O)(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
PC29,,12.00,22.80,42.30,,1.90,3.53,,CS(=O)c1ccc(cc1)c1cnc2ccc(nn12)c1cccc(c1)C(=O)N1CCCCC1
HW29,,1.68,24.70,0.04,,14.70,0.02,,O=S(=O)(NC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3)N1CCN(CC1)c1ccccn1
SA26,,1.63,33.00,1019.00,,20.25,625.15,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(CC)c1C
HW24,,1.21,36.00,17.00,,29.75,14.05,,Fc1ccc(cc1)NC(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
RH3,,1.86,37.74,223.90,,20.29,120.38,,CC12OC3OC(OC)C(C)C4CCC(C)C(CC1)C43OO2
SA33,,4.36,39.00,164.00,,8.94,37.61,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(CCCCCCCC)c1C
SA25,,1.92,41.00,1088.00,,21.35,566.67,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(C)c1C
HW27,,0.49,43.70,2.80,,89.18,5.71,,FC(F)(F)c1ccc(cc1)C(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
HW22,,1.87,45.90,17.70,,24.55,9.47,,CC(C)(C)c1ccc(cc1)NC(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
MMV642944,,20.16,46.80,51.90,96.80,2.32,2.57,4.80,CS(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)c3ccc(nc3)C(F)(F)F
GD34,,156.00,56.08,1899.00,,0.36,12.17,,CCN(CC)Cc1cc(cc(c1O)Nc1nc2ccccc2n1Cc1ccc(cc1)C(F)(F)F)Cl
MMV652103,,7.25,59.60,5.00,133.30,8.22,0.69,18.39,CS(=O)(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cccc(c4)S(=O)(=O)C
CLM-1,,7.30,60.00,27.00,,8.22,3.70,,CS(=O)(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cccc(c4)S(=O)(=O)C
RH4,,3.00,62.83,171.00,,20.94,57.00,,O=C(O)CCC(=O)OC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
UNC0646,,140.10,66.80,1000.00,,0.48,7.14,,CC(C)N(CC6)CCCN6C1=NC(NC3CCN(C5CCCCC5)CC3)=C2C(C=C(OCCCN4CCCCC4)C(OC)=C2)=N1
MMV666620,,11.59,68.40,78.90,428.00,5.90,6.81,36.93,CS(=O)(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cccc(c4)C(=O)N5CCNCC5
SA19,,6.50,72.00,653.00,,11.08,100.46,,[Br-].CC(C)[n+]1c2c(C(=O)c3ccccc3C2=O)n(c1C)C(C)C
HW18,,13.90,89.70,4.80,,6.45,0.35,,FC(F)(F)c1ccc(cc1)S(=O)(=O)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
MMV674766,,7.86,93.90,66.40,262.90,11.95,8.45,33.45,CS(=O)(=O)c1ccc(cc1)c2cnn3ccc(cc23)c4cccc(c4)S(=O)(=O)C
CLM-18,,8.00,94.00,66.00,,11.75,8.25,,CS(=O)(=O)c1ccc(cc1)c2cnn3ccc(cc23)c4cccc(c4)S(=O)(=O)C
GD37,,169.00,97.62,5000.00,,0.58,29.59,,CCN(CC)Cc1cc(cc(c1O)Nc1nc2ccccc2n1Cc1ccc(cc1)C(F)(F)F)F
GD25,,194.35,115.20,,,0.59,,,CCN(CC)Cc1cc(cc(c1O)Nc1nc2ccccc2n1Cc1ccc(cc1)C(F)(F)F)C
JIB-04,,470.50,120.00,262.50,,0.26,0.56,,ClC(C=C1)=CN=C1N/N=C(C2=CC=CC=C2)/C3=CC=CC=N3
MMV643110,,23.24,122.10,71.51,92.70,5.25,3.08,3.99,NC(=O)c1ccc(cc1)c2cnc(N)c(n2)c3ccc(nc3)C(F)(F)F
ITF 2357,,90.70,128.30,1000.00,,1.41,11.03,,CC[N+](CC)([H])CC1=CC=C(C=C(COC(NC2=CC=C(C(NO)=O)C=C2)=O)C=C3)C3=C1.[Cl-].O
CLM3,,5.40,134.00,66.00,,24.81,12.22,,NC(C(C1=CC=C(C(F)(F)F)C=C1)=N2)=NC=C2C3=CC=C(C(N4CCNCC4)=O)C=C3
MMV642943,,5.73,134.00,66.00,125.60,23.39,11.52,21.92,Nc1ncc(nc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CCNCC4
SA29,,3.94,139.00,832.00,,35.28,211.17,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(c1C)C1CC1
CAY10603,,101.00,141.10,1000.00,,1.40,9.90,,ONC(=O)CCCCCCNC(=O)c1noc(c1)c1ccc(cc1)NC(=O)OC(C)(C)C
SA32,,6.20,143.00,551.00,,23.06,88.87,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(CCCCCC)c1C
SA16,,4.00,162.00,567.00,,40.50,141.75,,[Br-].CC(C)[n+]1c2c(C(=O)c3ccccc3C2=O)n(CCC)c1C
CLM-31,,6.00,163.00,72.00,,27.17,12.00,,CS(=O)c1ccc(cc1)c2cnn3ccc(cc23)c4cccc(c4)S(=O)(=O)C5CC5
MMV675615,,4.47,163.20,72.10,104.20,36.51,16.13,23.31,CS(=O)c1ccc(cc1)c2cnn3ccc(cc23)c4cccc(c4)S(=O)(=O)C5CC5
RH16,,5.68,165.70,8.70,,29.17,1.53,,O=S(=O)(N1C(=O)C(C)C2CCC(C)C3CCC4(C)OOC32C1O4)c1cccs1
CLM13,,19.00,168.00,845.00,,8.84,44.47,,NC1=NC=C(C2=CC=C(C(O)=O)C=C2)N=C1C3=CN=C(C(F)(F)F)C=C3
MMV675081,,24.42,168.00,845.00,,6.88,34.60,,Nc1ncc(nc1c2ccc(nc2)C(F)(F)F)c3ccc(cc3)C(=O)O
RH7,,4.39,169.30,564.20,,38.56,128.52,,CCCCS(=O)(=O)N1C2OC3(C)CCC4C(C)CCC(C(C)C1=O)C42OO3
Lestaurtinib,,136.10,170.40,950.40,,1.25,6.98,,O=C(NC1)C2=C1C(C(C=CC=C3)=C3N45)=C4C6=C2C7=C(C=CC=C7)N6[C@@]8([H])C[C@](O)(CO)[C@]5(C)O8
SA30,,7.20,181.00,275.00,,25.14,38.19,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(CCCC)c1C
RH9,,5.17,186.10,175.10,,36.00,33.87,,O=S(=O)(c1ccccc1)N1C2OC3(C)CCC4C(C)CCC(C(C)C1=O)C42OO3
ZM 447439,,210.40,189.40,1000.00,,0.90,4.75,,COc1cc2c(ncnc2cc1OCCCN1CCOCC1)Nc1ccc(cc1)NC(=O)c1ccccc1
MMV020788,,22.60,197.00,105.00,,8.72,4.65,,Oc1ccccc1CNCC23CC4CC(CC(C4)C2)C3
MMV642943,,5.38,208.70,,125.60,38.79,,23.35,Nc1ncc(nc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CCNCC4
MMV390048,,22.12,214.00,140.30,897.00,9.67,6.34,40.55,CS(=O)(=O)c1ccc(cc1)c2cnc(N)c(c2)c3ccc(nc3)C(F)(F)F
GD39,,262.00,219.43,2334.00,,0.84,8.91,,CCNCc1cc(cc(c1O)Nc1nc2cc(c(cc2n1Cc1ccc(cc1)C(F)(F)F)F)F)C
MMV006706,,683.00,220.00,5000.00,,0.32,7.32,,n1(c2c(cccc2)n3)c3c(C#N)c(C)cc1N(CC4)CCN4C5CCCC5
SA28,,2.36,229.00,689.00,,97.03,291.95,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(c1C)C(C)C
MMV006087,,7.16,249.00,372.00,,34.78,51.96,,c(c(ccn1)NCCN(CC)CC)(ccc(Cl)c2)c12
MMV020500,,62.40,252.00,235.00,,4.04,3.77,,CNCCCNc1ccnc2cc(Cl)ccc12
MMV665882,,337.00,252.00,63.00,983.63,0.75,0.19,2.92,OC(CNC1CCCCC1)Cn2c3ccc(I)cc3c4cc(I)ccc24
SA14,,4.20,268.00,320.00,,63.81,76.19,,[Br-].O=C1c2c(C(=O)c3ccccc13)[n+](CCCC)c(C)n2CC
SA27,,2.97,269.00,842.00,,90.57,283.50,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(CCC)c1C
BRD3444,,9.00,282.00,663.00,,31.33,73.67,,COc1ccc(cc1)NC(=O)N1CC2C(c3ccc(C#Cc4ccccc4)cc3)C(CO)N2CCCC1
M 344,,237.20,310.40,1000.00,,1.31,4.22,,ONC(=O)CCCCCCNC(=O)c1ccc(cc1)N(C)C
MMV668647,,21.47,322.90,136.90,,15.04,6.38,,Nc1ncc(nc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CC[C@@H](O)C4
CLM9i,,22.00,323.00,137.00,,14.68,6.23,,OC1CCN(C1)C(=O)c1ccc(cc1)c1cnc(N)c(n1)c1ccc(cc1)C(F)(F)F
TG101209,,211.20,326.30,1000.00,,1.54,4.73,,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)N4CCN(CC4)C
SA31,,9.19,337.00,812.00,,36.67,88.36,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(CC(C)C)c1C
RH11,,2.04,356.90,85.10,,174.95,41.72,,FC(F)(F)c1ccc(cc1)S(=O)(=O)N1C2OC3(C)CCC4C(C)CCC(C(C)C1=O)C42OO3
MMV665971,,489.00,359.00,228.00,5000.00,0.73,0.47,10.22,CCOC(=O)C1=C(C)N=C2SC(=Cc3cc(Cl)ccc3O)C(=O)N2C1c4ccc(OC)cc4
SA35,,4.30,361.00,174.00,,83.95,40.47,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(CCCCCCCCCCCC)c1C
SA34,,4.96,370.00,237.00,,74.60,47.78,,[Br-].CC(C)C[n+]1c2c(C(=O)c3ccccc3C2=O)n(CCCCCCCC)c1C
MI-136,,175.20,375.30,1000.00,,2.14,5.71,,N#CC1=CC2=CC(CN3CCC(NC4=C(C=C(CC(F)(F)F)S5)C5=NC=N4)CC3)=CC=C2N1
SB939,,80.00,376.50,1000.00,,4.71,12.50,,CCN(CC)CCN1C2=C(N=C1CCCC)C=C(/C=C/C(NO)=O)C=C2
LLY-507,,160.50,377.60,1000.00,,2.35,6.23,,N#CC1=CC(C(NCCCN2CCCC2)=O)=CC(C3=CC=CC=C3N4CCN(CCN5C=C(C)C6=C5C=CC=C6)CC4)=C1
SGI-1776 free base,,297.50,384.90,1000.00,,1.29,3.36,,CN1CCC(CC1)CNC2=NN3C(=NC=C3C4=CC(=CC=C4)OC(F)(F)F)C=C2
SA11,,3.70,390.00,709.00,,105.41,191.62,,[Br-].O=C1c2c(C(=O)c3ccccc13)[n+](CC)c(C)n2CCC
PC28,,24.00,390.00,120.00,,16.25,5.00,,CS(=O)c1ccc(cc1)c1cnc2ccc(nn12)c1cccc(c1)C(=O)N1CCNCC1
MMV666632,,28.20,404.65,5000.00,,14.35,177.30,,CNc1nc(NCCCN(C)C)c2sc(cc2n1)c3ccc(OC(F)(F)F)cc3
CLM9f,,9.20,415.00,45.00,,45.11,4.89,,NC1=NC=C(C2=CC=C(C(N3CC(O)C3)=O)C=C2)N=C1C4=CC=C(C(F)(F)F)C=C4
MMV674192,,9.17,415.90,45.24,,45.35,4.93,,Nc1ncc(nc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CC(O)C4
RH17,,3.74,421.60,11.90,,112.73,3.18,,Clc1cc(c(Cl)s1)S(=O)(=O)N1C(=O)C(C)C2CCC(C)C3CCC4(C)OOC32C1O4
MMV085583,,107.20,423.00,1049.00,5000.00,3.95,9.79,46.64,CCCCCC(=O)N1C(C2=C(O)CC(CC2=Nc3ccccc13)c4ccc(OC)c(OC)c4)c5ccc(cc5)C(F)(F)F
MMV665785,,161.00,426.00,148.00,,2.65,0.92,,CC(C)(C)c1ccc(O)c(CNC2CCCCC2)c1
CAY10398,,182.60,433.40,1000.00,,2.37,5.48,,ONC(=O)CCCCCNC(=O)c1ccc(cc1)N(C)C
GD35,,286.00,435.45,5000.00,,1.52,17.48,,CCNCc1cc(cc(c1O)Nc1nc2ccccc2n1Cc1ccc(cc1)C(F)(F)F)Cl
MMV670997,,20.08,442.30,5000.00,,22.03,249.00,,NC1CCN(CC1)c2nc(N)nc3cc(sc23)c4ccc(cc4)C(F)(F)F
MMV007907,,350.00,461.00,231.00,,1.32,0.66,,Cc1ccc(Nc2nc(cs2)c3ccccn3)cc1
RH18,,13.23,464.80,25.30,,35.13,1.91,,O=C1CC2(CCC1C2(C)C)CS(=O)(=O)N1C2OC3(C)CCC4C(C)CCC(C(C)C1=O)C42OO3
GD41,,194.00,466.85,5000.00,,2.41,25.77,,CCNCc1cc(cc(c1O)Nc1nc2cc(c(cc2n1Cc1ccc(cc1)C(F)(F)F)F)F)Cl
MMV668434,,42.54,513.70,5000.00,,12.08,117.54,,CNc1nc(NCCCN2CCOCC2)c3sc(cc3n1)c4ccc(cc4)C(F)(F)F
SRT1720 HCl,,460.30,519.00,1000.00,,1.13,2.17,,C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5.Cl
GD40,,257.00,528.32,,,2.06,,,Cc1cc(c(c(c1)Nc1nc2cc(c(cc2n1Cc1ccc(cc1)C(F)(F)F)F)F)O)CNC(C)(C)C
MMV665841,,146.00,532.00,591.00,,3.64,4.05,,CCCc1cc(O)c2C3=C(CN(C)CC3)C(=O)Oc2c1
MMV642942,,10.17,550.00,134.70,,54.08,13.24,,CS(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)c3ccc(cc3)C(F)(F)F
PC18,,19.00,559.00,158.00,,29.42,8.32,,CNC(=O)c1ccc(cc1)c1cnc2ccc(nn12)c1cccc(c1)S(C)(=O)=O
PC22,,94.00,570.00,780.00,,6.06,8.30,,CS(=O)c1ccc(cc1)c1cnc2ccc(nn12)c1cccc(c1)C(=O)NCC=C
MMV665875,,140.05,588.00,372.00,,4.20,2.66,,CN1C(=O)N(C)c2cc(CNCCNc3ccnc4cc(Cl)ccc34)ccc12
MMV019266,,255.00,596.00,324.00,520.00,2.34,1.27,2.04,Cc1sc2ncnc(Sc3nc4ccccc4[nH]3)c2c1C
GD36,,286.00,598.70,,,2.09,,,CC(C)(C)NCc1cc(cc(c1O)Nc1nc2ccccc2n1Cc1ccc(cc1)C(F)(F)F)Cl
MMV666810,,5.42,602.50,178.70,,111.16,32.97,,Nc1ncc(nc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CCC(O)CC4
CLM9l2,,5.40,603.00,179.00,,111.67,33.15,,NC1=NC=C(C2=CC=C(C(N3CCC(O)CC3)=O)C=C2)N=C1C4=CC=C(C(F)(F)F)C=C4
MMV642941,,53.02,619.85,224.50,,11.69,4.23,,NC(=O)c1ccc(cc1)c2cnc(N)c(c2)c3ccc(nc3)C(F)(F)F
MMV000753,,326.00,627.00,2000.00,5000.00,1.92,6.13,15.34,Oc1ccc(cc1)c2nc(c3ccc4oc5ccc(cc5c4c3)c6[nH]c(nc6c7ccccc7)c8ccc(O)cc8)c([nH]2)c9ccccc9
MMV670930,,14.27,639.80,189.90,,44.84,13.31,,CS(=O)c1ccc(cc1)c2cnc(N)c(n2)c3ccc(nc3)C(F)(F)F
CLM14,,33.00,649.00,729.00,,19.67,22.09,,NC1=NC=C(C2=CC=C(C(O)=O)C=C2)N=C1C3=CC=C(C(F)(F)F)C=C3
MMV674594,,89.06,649.00,1860.00,,7.29,20.88,,Nc1ncc(nc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)O
MMV007224,,320.00,654.00,948.00,1980.00,2.04,2.96,6.19,Brc1ccc(Nc2nc3ccccc3nc2Nc4ccc(Br)cc4)cc1
MMV665794,,90.00,656.00,416.00,680.00,7.29,4.62,7.56,FC(F)(F)c1cccc(Nc2nc3ccccc3nc2Nc4cccc(c4)C(F)(F)F)c1
MMV665894,,536.00,686.00,5000.00,,1.28,9.33,,CC(=O)c1sc(NC(=O)Nc2ccc(C)cc2C)nc1C
GD42,,197.00,692.13,,,3.51,,,CC(C)(C)NCc1cc(cc(c1O)Nc1nc2cc(c(cc2n1Cc1ccc(cc1)C(F)(F)F)F)F)Cl
MMV672925,,10.20,693.35,476.80,,67.98,46.75,,CS(=O)(=O)c1cccc(c1)c2ccc3ncc(c4ccc(cc4)S(=O)(=O)CCCN)n3n2
MMV673927,,15.00,697.30,146.05,,46.49,9.74,,Nc1ncc(nc1c2ccc(nc2)C(F)(F)F)c3ccc4nccn4c3
MMV666125,,120.00,720.32,745.00,480.00,6.00,6.21,4.00,CC1=C(CC(=O)c2cccc(c2)[N+](=O)[O-])C(=O)c3ccccc3C1=O
MMV668648,,6.02,731.35,536.20,,121.49,89.07,,Nc1ncc(nc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CC[C@H](O)C4
